words,chars,u_words,u_chars,sentences,avg_word_length,avg_sent_length,class
39,166,2,13,2,4,20,True
67,270,4,27,3,4,22,True
50,194,1,21,4,4,13,True
55,220,1,37,2,4,28,True
30,152,1,16,2,5,15,True
25,103,1,9,2,4,13,True
22,95,1,9,2,4,11,True
29,141,2,15,2,5,15,True
33,137,1,13,2,4,17,True
30,137,1,15,2,5,15,True
25,116,1,12,2,5,13,True
21,96,1,13,3,5,7,True
18,101,0,7,1,6,18,True
26,121,1,9,2,5,13,True
26,120,1,16,3,5,9,True
29,125,1,14,2,4,15,True
11,72,0,9,2,7,6,True
23,113,1,13,2,5,12,True
26,118,2,13,1,5,26,True
31,145,1,18,2,5,16,True
31,159,1,11,2,5,16,True
27,132,1,20,2,5,14,True
14,80,1,10,2,6,7,True
26,127,1,17,2,5,13,True
18,83,1,15,2,5,9,True
29,138,2,22,2,5,15,True
24,101,2,18,2,4,12,True
38,183,1,21,2,5,19,True
34,158,1,19,2,5,17,True
49,225,1,19,2,5,25,True
47,233,1,19,2,5,24,True
49,225,1,36,3,5,16,True
30,153,1,23,2,5,15,True
47,236,1,32,3,5,16,True
49,232,1,37,3,5,16,True
64,273,1,32,3,4,21,True
63,277,3,35,3,4,21,True
54,287,1,28,2,5,27,True
145,562,4,27,7,4,21,True
48,246,2,27,2,5,24,True
38,246,2,25,2,6,19,True
119,562,8,58,7,5,17,True
74,280,4,34,3,4,25,True
121,587,5,42,7,5,17,True
43,228,0,6,3,5,14,True
39,178,2,24,2,5,20,True
26,136,1,22,3,5,9,True
54,266,5,46,3,5,18,True
44,194,1,31,2,4,22,True
24,106,0,12,2,4,12,True
49,217,6,42,2,4,25,True
39,176,1,29,2,5,20,True
30,132,1,26,3,4,10,False
66,310,1,23,3,5,22,True
46,185,1,18,3,4,15,True
53,229,2,28,3,4,18,True
38,149,2,16,3,4,13,True
30,138,2,9,2,5,15,True
20,77,1,9,2,4,10,True
32,124,3,13,2,4,16,True
33,132,2,10,2,4,17,True
31,122,1,9,2,4,16,True
23,80,2,10,2,3,12,True
9,53,0,5,2,6,5,True
20,73,2,8,2,4,10,True
22,92,2,9,2,4,11,True
27,108,1,8,2,4,14,True
36,146,1,11,2,4,18,True
21,88,2,11,2,4,11,True
65,295,0,15,3,5,22,True
