nouns,pronouns,verbs,numbers,adjectives,conjunctions,adverbs,class
0,5,2,0,0,0,0,False
18,1,12,4,0,0,2,False
10,3,8,0,3,0,2,False
4,15,6,0,0,0,4,False
7,4,4,0,3,0,0,False
8,7,4,0,2,0,0,False
0,9,8,0,0,0,0,False
4,3,5,0,5,0,4,False
5,3,3,0,1,0,0,False
3,2,4,0,6,0,0,False
13,8,4,2,8,0,0,False
9,12,5,0,1,0,1,True
5,16,3,1,3,0,0,True
9,12,3,0,2,0,0,True
10,5,8,0,1,0,0,True
0,0,0,0,0,0,0,False
11,14,6,0,5,0,1,True
8,14,2,2,0,0,1,True
5,14,8,0,3,0,0,True
10,7,3,0,1,0,1,True
1,1,0,0,1,0,0,False
12,9,4,0,2,0,0,False
1,2,1,0,1,0,1,False
7,8,2,0,2,0,0,False
10,7,4,0,6,0,2,False
4,11,4,0,0,0,0,False
5,2,4,0,5,0,3,False
9,2,4,0,4,0,2,False
2,9,2,0,4,0,0,False
6,17,4,0,4,0,0,False
9,8,4,0,2,0,2,False
6,7,4,2,2,0,2,False
0,1,3,0,0,0,1,False
0,3,2,1,0,0,1,False
6,6,6,0,1,0,0,False
8,3,0,0,2,0,2,False
12,5,6,0,0,0,0,False
2,6,1,0,0,0,1,False
9,7,2,0,5,0,2,False
4,5,4,0,0,0,4,False
6,7,4,0,2,0,2,False
11,11,4,0,3,0,0,True
8,11,5,0,1,0,1,True
5,9,4,4,4,0,0,True
6,13,4,0,2,0,1,True
1,6,0,0,0,0,0,False
6,5,4,0,2,0,2,False
8,1,8,4,2,0,2,False
3,9,2,0,3,0,2,False
5,4,6,0,0,0,2,False
2,1,5,0,0,0,0,False
3,1,1,0,3,0,2,False
11,6,10,0,2,0,0,False
7,2,6,0,2,0,2,False
8,2,6,0,5,0,0,False
9,0,7,0,1,0,3,False
4,1,4,0,2,0,2,False
10,9,7,0,2,0,0,False
8,1,4,0,8,0,2,False
15,2,4,0,4,0,0,False
4,1,0,0,0,0,1,False
2,4,2,0,0,0,0,False
0,4,0,1,0,0,0,False
7,1,3,0,3,0,0,False
3,4,2,4,1,0,0,False
4,3,1,1,1,0,2,False
11,4,2,0,3,0,0,True
4,14,3,3,4,0,1,True
9,12,4,0,2,0,0,True
8,7,1,2,3,0,0,True
2,14,3,2,0,0,0,True
5,1,1,4,4,0,0,False
11,14,3,0,4,0,1,True
4,5,2,0,1,0,0,True
5,10,1,0,1,0,0,True
8,12,2,0,2,0,0,True
6,6,7,0,5,0,0,True
2,9,3,0,1,0,1,False
8,23,3,4,2,0,0,True
7,3,8,1,3,0,5,True
14,8,4,2,1,0,0,True
7,12,4,0,2,0,2,True
5,2,1,0,4,0,1,False
0,0,2,0,1,0,0,False
5,1,4,2,0,0,2,False
7,0,2,2,2,0,1,False
5,1,0,0,2,0,2,False
1,4,1,0,0,0,2,False
6,1,2,1,0,0,0,False
3,1,0,1,1,0,2,False
3,1,2,1,1,0,0,False
2,6,2,0,1,0,0,False
6,25,2,0,0,0,1,False
7,1,4,0,1,0,2,False
8,2,5,0,0,0,1,False
7,2,4,0,1,0,3,False
9,3,0,0,1,0,1,False
5,0,6,0,2,0,2,False
9,10,4,0,3,0,1,True
8,12,3,0,0,0,2,True
12,3,4,0,4,0,1,True
6,9,6,0,3,0,0,True
6,3,2,0,1,0,2,False
6,0,3,0,4,0,3,False
5,0,3,0,4,0,3,False
7,0,3,0,1,0,2,False
8,2,3,0,0,0,0,False
8,0,1,0,1,0,0,False
10,1,2,0,3,0,2,False
6,2,4,0,1,0,1,False
3,3,1,0,2,0,3,False
2,5,3,0,0,0,1,False
5,1,3,0,3,0,1,False
8,0,1,0,0,0,1,False
8,0,4,0,0,0,1,False
1,3,1,0,1,0,0,False
4,2,4,0,0,0,0,False
7,0,5,1,3,0,2,False
4,4,2,0,0,0,3,False
5,5,4,0,2,0,4,False
1,4,3,0,0,0,2,False
6,0,4,0,0,0,3,False
6,3,3,0,1,0,1,False
5,3,7,0,2,0,3,True
6,12,4,0,3,0,1,True
6,8,7,0,2,0,2,True
5,8,5,0,1,0,1,True
3,1,3,0,0,0,1,False
8,5,8,0,2,0,0,True
6,13,4,0,1,0,0,True
6,17,6,0,2,0,3,True
4,11,3,4,1,0,1,True
5,4,5,0,0,0,3,False
9,0,5,0,1,0,3,False
5,4,4,0,0,0,3,False
6,2,4,0,2,0,0,False
7,2,3,0,1,0,1,False
7,0,2,0,2,0,1,False
7,4,0,0,1,0,0,False
6,10,2,0,1,0,1,False
10,0,7,0,3,0,7,False
5,2,6,0,0,0,1,False
12,5,2,1,2,0,4,False
7,5,5,0,2,0,1,False
7,2,3,0,4,0,2,False
7,2,5,0,3,0,0,False
9,0,4,0,0,0,2,False
10,2,1,0,1,0,2,False
6,2,4,0,1,0,4,False
4,2,5,0,0,0,2,False
6,15,5,0,3,0,0,True
9,6,3,0,5,0,4,True
4,8,6,0,0,0,3,True
6,7,4,1,2,0,2,True
8,5,11,1,3,0,1,False
12,9,3,0,2,0,0,True
5,7,8,0,0,0,0,True
5,9,2,1,2,0,0,True
7,16,4,0,2,0,1,True
6,3,2,0,4,0,1,True
5,13,4,0,3,0,0,True
8,13,4,0,5,0,0,True
4,9,4,1,3,0,1,True
4,13,4,2,1,0,1,True
3,7,5,0,0,0,0,False
6,4,9,4,2,0,0,True
11,11,6,1,2,0,3,True
6,8,5,0,3,0,1,True
4,4,5,0,1,0,2,True
1,10,4,0,0,0,1,False
1,8,4,0,0,0,2,False
9,7,5,0,4,0,1,False
11,7,5,0,4,0,0,False
1,8,2,0,2,0,0,False
3,4,7,1,4,0,3,False
6,8,3,0,5,0,4,False
4,7,5,0,0,0,2,False
8,5,5,1,2,0,0,False
6,11,6,1,3,0,0,False
1,12,1,0,1,0,1,False
8,5,6,0,3,0,3,False
2,4,6,0,1,0,2,False
5,9,6,0,4,0,4,False
3,6,6,0,1,0,1,False
6,13,4,0,0,0,0,False
0,7,5,0,1,0,0,False
2,5,3,1,0,0,1,False
2,13,9,0,2,0,0,False
2,0,2,0,3,0,1,False
8,4,4,1,3,0,0,False
9,11,5,0,5,0,1,True
8,11,7,0,1,0,1,True
7,4,2,0,4,0,0,True
7,12,3,1,6,0,0,True
1,6,2,0,0,0,0,True
5,14,3,0,0,0,1,True
5,5,6,0,1,0,2,True
4,7,3,0,4,0,1,True
6,9,7,0,1,0,1,True
6,9,3,0,0,0,1,True
10,3,7,0,4,0,1,True
10,17,3,0,3,0,0,True
5,18,4,0,2,0,2,True
6,10,6,3,2,0,0,True
6,14,2,0,1,0,0,True
9,8,6,1,1,0,1,True
11,8,7,1,3,0,0,True
3,2,4,0,2,0,3,False
7,4,4,0,2,0,0,False
0,0,0,0,0,0,0,False
7,8,4,0,3,0,1,False
5,0,5,0,4,0,1,False
5,6,0,1,4,0,0,False
0,0,0,0,0,0,0,False
4,8,2,0,0,0,1,False
1,0,1,0,1,0,0,False
7,1,7,1,4,0,1,False
6,3,6,0,3,0,5,False
3,1,1,0,1,0,1,False
15,4,6,0,5,0,1,False
11,0,3,2,7,0,1,False
10,3,2,2,2,0,0,False
6,6,6,1,2,0,1,False
2,1,1,0,2,0,2,False
3,2,4,0,0,0,1,False
13,6,4,0,3,0,0,True
6,9,7,0,3,0,0,True
11,15,8,0,3,0,0,True
7,17,5,0,0,0,0,True
3,4,2,0,1,0,0,True
4,4,2,1,0,0,0,True
2,7,0,0,1,0,0,True
4,3,2,0,1,0,0,True
9,7,6,0,5,0,3,True
3,2,2,0,0,0,0,True
9,8,3,0,2,0,1,True
2,3,1,0,3,0,1,True
3,8,1,0,1,0,0,True
10,2,3,0,4,0,2,True
5,3,4,0,0,0,1,True
5,1,2,1,1,0,1,True
5,9,2,1,3,0,1,True
7,3,4,2,1,0,1,True
12,5,2,0,0,0,0,True
6,2,4,0,0,0,4,True
6,3,4,0,3,0,1,True
1,6,1,0,2,0,2,True
10,7,8,1,4,0,1,True
6,13,3,0,3,0,0,True
11,9,8,1,4,0,1,True
6,7,7,0,4,0,0,True
2,0,2,1,3,0,0,True
7,3,4,0,2,0,0,True
6,5,0,1,2,0,0,True
12,1,2,0,1,0,0,True
7,2,1,0,2,0,2,True
5,1,3,0,1,0,0,True
7,2,1,0,0,0,0,True
5,6,3,0,1,0,0,True
2,6,5,0,0,0,1,True
5,2,3,0,2,0,1,True
3,5,4,0,2,0,2,True
2,7,2,0,1,0,1,True
6,2,2,1,2,0,1,True
1,11,0,0,1,0,0,True
6,2,4,0,5,0,1,True
9,7,4,3,2,0,3,True
7,2,3,1,3,0,0,True
6,3,1,0,0,0,1,True
5,2,1,0,2,0,0,True
2,7,3,0,1,0,1,True
11,4,6,1,0,0,1,True
10,10,3,9,5,0,1,True
7,6,5,1,3,0,2,True
2,26,2,0,2,0,0,True
3,8,4,1,3,0,0,True
6,2,3,3,0,0,0,True
5,1,3,1,4,0,1,True
3,6,5,0,0,0,1,True
5,5,1,0,2,0,1,True
5,8,2,0,2,0,0,True
4,3,1,0,3,0,2,True
4,3,2,0,1,0,0,True
2,6,0,0,2,0,1,True
8,3,3,0,2,0,0,True
4,8,2,0,0,0,0,True
3,6,5,0,1,0,0,True
1,4,1,0,0,0,1,True
4,4,3,0,3,0,0,True
4,6,3,0,1,0,0,True
4,11,2,0,1,0,1,True
6,3,3,0,2,0,0,True
1,13,2,0,1,0,0,True
1,6,1,0,0,0,0,True
3,9,2,0,0,0,0,True
0,8,2,0,0,0,0,True
3,12,2,0,1,0,0,True
2,9,2,0,1,0,0,True
7,9,5,0,1,0,0,True
7,7,3,1,2,0,0,True
12,10,4,0,4,0,0,True
8,11,3,0,8,0,0,True
4,15,4,0,4,0,1,True
4,8,1,0,2,0,0,True
2,17,6,0,2,0,0,True
4,16,4,0,4,0,1,True
7,15,7,1,2,0,2,True
10,13,6,0,3,0,1,True
8,13,8,0,3,0,1,True
30,38,12,4,5,0,3,True
8,11,4,0,5,0,0,True
8,10,2,0,6,0,0,True
21,37,11,0,7,0,2,True
8,9,6,3,4,0,2,True
29,39,7,0,5,0,6,True
6,2,4,2,3,0,3,True
3,10,4,0,0,0,4,True
3,8,3,0,0,0,0,True
8,10,8,0,7,0,0,True
3,16,2,1,1,0,0,True
4,6,2,1,0,0,1,True
8,13,3,0,2,0,1,True
4,12,3,0,0,0,1,True
7,3,2,0,3,0,1,False
12,14,4,1,4,0,1,True
9,8,3,0,2,0,1,True
4,17,3,1,4,0,0,True
7,6,2,0,4,0,1,True
10,1,4,1,2,0,0,True
5,2,2,0,1,0,1,True
5,8,3,1,2,0,1,True
9,3,3,2,1,0,1,True
8,2,6,0,1,0,1,True
5,2,4,2,0,0,1,True
0,0,1,0,2,0,1,True
8,2,2,0,0,0,0,True
3,1,1,0,4,0,3,True
10,2,2,1,0,0,0,True
8,5,3,0,3,0,0,True
4,3,2,2,1,0,0,True
13,12,4,1,3,0,2,True
7,6,3,1,3,0,0,True
3,4,2,0,4,0,1,True
8,4,3,1,0,0,1,True
2,1,2,0,2,0,0,True
1,0,1,0,0,0,0,True
9,14,6,2,1,0,1,True
7,7,4,1,2,0,2,True
6,18,2,0,2,0,0,True
9,10,6,0,2,0,0,True
3,7,5,0,0,0,0,True
8,2,3,0,0,0,0,True
5,2,3,0,1,0,0,True
5,1,4,0,2,0,0,True
5,8,1,0,2,0,0,True
6,1,2,0,3,0,0,True
8,1,5,0,3,0,0,True
3,9,3,0,2,0,0,True
14,9,3,1,4,0,1,True
6,8,10,0,0,0,2,True
11,11,6,0,0,0,1,True
6,12,4,1,0,0,0,True
11,4,2,2,4,0,0,True
2,5,3,0,1,0,0,True
4,7,6,0,1,0,0,True
3,9,4,0,0,0,0,True
0,3,0,0,0,0,0,True
5,12,3,0,0,0,0,True
1,1,0,0,0,0,0,True
6,7,11,1,2,0,2,True
7,11,4,0,3,0,2,True
5,8,2,0,2,0,1,True
5,5,4,0,2,0,4,True
10,3,2,0,5,0,2,True
9,13,6,1,2,0,2,True
1,1,0,0,0,0,0,True
0,1,0,0,0,0,0,True
5,6,4,0,2,0,0,True
0,2,0,0,0,0,0,True
3,2,2,0,0,0,0,True
14,3,4,1,1,0,0,True
1,1,0,0,0,0,0,True
12,3,7,0,4,0,0,True
13,7,5,0,2,0,0,True
6,12,6,0,1,0,0,True
7,1,8,0,0,0,0,True
5,4,6,0,4,0,1,True
0,1,0,0,0,0,0,True
11,4,8,0,2,0,1,True
8,1,3,1,0,0,0,True
0,1,0,0,0,0,0,True
7,3,4,0,2,0,1,True
1,1,0,0,0,0,0,True
5,2,4,2,1,0,1,True
0,1,1,0,0,0,0,True
3,6,2,0,1,0,0,True
6,12,4,2,2,0,1,True
8,11,4,0,1,0,0,True
7,12,5,1,2,0,2,True
6,23,4,0,2,0,1,True
0,1,0,0,0,0,0,True
0,2,0,0,0,0,0,True
3,10,2,3,3,0,3,True
5,2,4,0,1,0,0,True
4,1,3,0,0,0,0,True
4,1,1,0,1,0,0,True
10,7,5,1,4,0,0,True
8,8,3,0,3,0,3,True
6,9,5,0,1,0,0,True
11,17,5,0,3,0,0,True
8,4,4,0,2,0,0,True
10,5,4,1,1,0,1,True
1,6,2,0,1,0,0,True
6,0,3,1,2,0,0,True
7,6,5,1,4,0,1,True
5,10,6,0,2,0,0,True
3,4,1,0,2,0,0,True
1,1,0,0,0,0,0,True
5,8,4,2,0,0,0,True
5,6,1,2,4,0,2,True
8,11,8,0,7,0,0,True
6,21,3,0,3,0,0,True
5,14,3,1,3,0,0,True
0,1,1,0,2,0,1,True
4,4,2,0,1,0,0,True
