@relation sentiment_vector

@attribute negative numeric
@attribute neutral numeric
@attribute positive numeric
@attribute compound numeric
@attribute class {True,False}

@data
0.145,0.855,0,-0.296,True
0.22,0.734,0.045,-0.7184,True
0.293,0.61,0.098,-0.5859,True
0,1,0,0,False
0.139,0.861,0,-0.3078,True
0.195,0.682,0.122,-0.6249,True
0,0.839,0.161,0.6124,True
0,1,0,0,True
0,0.828,0.172,0.6369,True
0,1,0,0,True
0,0.898,0.102,0.2878,True
0,1,0,0,True
0,1,0,0,True
0,1,0,0,True
0,0.94,0.06,0.2023,True
0,1,0,0,True
0,0.847,0.153,0.3818,True
0,1,0,0,True
0,1,0,0,True
0.241,0.759,0,-0.3612,True
0,0.89,0.11,0.4767,True
0,1,0,0,True
0,1,0,0,True
0.167,0.833,0,-0.3818,True
0.107,0.893,0,-0.34,True
0,1,0,0,True
0.103,0.778,0.119,0.0893,True
0,1,0,0,True
0,1,0,0,True
0,1,0,0,True
0,0.842,0.158,0.4939,True
0,1,0,0,True
0,0.902,0.098,0.0772,True
0,0.84,0.16,0.2732,True
0.308,0.692,0,-0.7845,True
0,0.435,0.565,0.3818,True
0.07,0.8,0.13,0.296,True
0.396,0.604,0,-0.7096,True
0,1,0,0,True
0,0.833,0.167,0.2023,True
0,1,0,0,True
0,0.882,0.118,0.3818,True
0.047,0.886,0.068,0.2263,True
0,1,0,0,True
0,1,0,0,True
0,0.814,0.186,0.4939,False
0,0.886,0.114,0.6486,False
0.126,0.874,0,-0.3802,False
0,0.896,0.104,0.6114,True
0,0.836,0.164,0.5487,False
0,0.889,0.111,0.718,False
0.168,0.771,0.061,-0.7389,False
0.101,0.799,0.1,0.2427,False
0.079,0.921,0,-0.5707,False
0.145,0.855,0,-0.4973,False
0.115,0.885,0,-0.6808,False
0,1,0,0,False
0.033,0.821,0.146,0.7269,True
0.058,0.942,0,-0.34,False
0.318,0.65,0.031,-0.93,False
0,1,0,0,False
0,1,0,0,False
0.18,0.82,0,-0.5267,False
0.04,0.738,0.221,0.7964,False
0.193,0.807,0,-0.6996,False
0,0.718,0.282,0.7284,False
0.187,0.624,0.189,-0.2247,False
0,0.879,0.121,0.431,False
0,1,0,0,False
0.087,0.806,0.106,0.1531,False
0.08,0.82,0.1,0.0052,False
0.108,0.823,0.07,-0.2023,False
0.136,0.835,0.029,-0.7096,False
0.064,0.755,0.181,0.598,False
0.102,0.794,0.104,0.0258,False
0.226,0.667,0.107,-0.4201,True
0,0.688,0.313,0.8402,False
0.089,0.79,0.121,0,False
0.03,0.84,0.129,0.7607,True
0,0.858,0.142,0.6486,False
0.157,0.816,0.028,-0.7845,True
0.064,0.866,0.069,0.0516,True
0,0.811,0.189,0.4199,True
0.25,0.581,0.169,-0.4215,True
0,0.827,0.173,0.8402,True
0,0.635,0.365,0.3182,False
0,0.741,0.259,0.9178,False
0.047,0.882,0.071,0.2105,False
0,1,0,0,False
0.115,0.833,0.052,-0.4199,False
0.206,0.794,0,-0.7564,False
0.274,0.651,0.075,-0.7003,False
0.165,0.835,0,-0.6734,False
0,0.739,0.261,0.9136,False
0,0.909,0.091,0.3612,False
0.04,0.765,0.195,0.7574,False
0,0.795,0.205,0.8519,False
0.047,0.889,0.064,-0.0516,False
0.13,0.824,0.045,-0.4939,False
0.078,0.854,0.068,-0.1027,False
0.051,0.886,0.063,0.128,False
0,0.925,0.075,0.296,False
0.189,0.811,0,-0.5411,False
0,0.907,0.093,0.5106,False
0.146,0.752,0.102,-0.2481,False
0,0.833,0.167,0.5859,False
0.068,0.932,0,-0.2944,False
0.091,0.909,0,-0.6808,False
0,1,0,0,False
0.19,0.81,0,-0.6124,False
0.13,0.651,0.219,0.2263,False
0,0.774,0.226,0.8689,False
0.046,0.754,0.2,0.8555,True
0.1,0.9,0,-0.4767,False
0.129,0.667,0.205,0.3182,False
0.306,0.694,0,-0.765,True
0,0.64,0.36,0.8402,False
0,0.88,0.12,0.5256,False
0.041,0.959,0,-0.357,False
