@relation reaction_vector

@attribute like numeric
@attribute haha numeric
@attribute angry numeric
@attribute sad numeric
@attribute love numeric
@attribute wow numeric
@attribute class {True,False}

@data
27,5,15,1,1,11,True
101,2,12,1,3,3,True
24,1,1,30,2,2,True
21,14,1,0,2,1,True
31,12,1,0,2,1,True
29,1,23,14,2,2,True
44,1,1,0,2,2,True
19,9,1,0,0,1,True
28,12,0,0,1,2,True
6,2,5,4,0,0,True
51,13,0,0,0,1,True
84,12,2,0,15,1,True
455,40,2,1,21,3,True
202,101,0,0,4,0,False
24,0,0,109,4,4,True
72,71,0,0,4,6,False
23,10,0,1,3,6,True
8,12,1,1,0,0,True
7,0,17,16,0,0,True
49,14,0,0,5,1,True
18,1,2,1,0,3,True
27,6,1,0,4,1,True
12,2,0,0,0,1,True
99,0,0,1,15,8,True
61,90,0,4,0,6,False
17,2,2,19,0,4,True
13,13,1,0,0,2,True
9,2,1,0,2,0,True
57,67,0,1,21,3,True
11,3,17,10,0,0,True
69,52,0,0,2,8,True
64,28,1,2,20,3,True
21,3,0,2,0,1,True
63,43,0,0,1,1,True
7,7,6,0,0,0,True
6,11,55,0,0,2,True
35,40,4,0,0,1,True
42,67,0,0,21,3,True
33,0,1,0,2,1,True
42,8,1,0,3,1,True
134,141,0,0,15,15,False
26,2,10,1,0,0,True
169,1,0,1,37,1,True
115,0,0,0,11,15,True
71,23,1,0,12,1,True
23,18,2,18,1,1,True
10,27,13,4,2,3,True
19,12,25,0,1,1,True
21,0,0,1,0,0,True
35,0,0,0,1,4,True
30,1,0,0,2,1,True
37,1,0,0,1,1,True
324,201,0,0,6,0,False
126,126,0,1,1,0,False
419,266,0,0,4,1,False
333,199,0,1,4,0,False
127,44,0,0,0,0,False
105,52,0,0,2,0,False
119,51,38,4,3,3,True
346,173,0,0,12,0,False
281,164,0,1,2,1,False
201,4,0,5,13,1,True
183,127,0,0,30,9,False
197,1,0,0,6,2,True
59,0,0,0,16,5,True
69,37,0,1,8,0,True
71,17,1,0,1,3,True
33,1,4,0,0,0,True
50,61,0,0,2,13,False
29,9,0,0,2,1,True
132,17,2,1,26,3,True
23,19,0,1,0,3,True
26,7,7,1,0,3,True
26,0,0,0,0,0,True
42,15,1,1,1,0,True
24,46,2,0,0,2,True
9,4,0,1,0,3,True
7,1,0,0,0,2,True
183,225,0,1,27,38,False
6,1,10,12,0,1,True
32,9,0,0,1,0,True
25,5,1,0,5,0,True
13,9,2,1,0,3,True
6,0,0,0,2,0,True
11,1,0,0,0,0,True
179,157,0,0,1,0,False
641,586,0,15,7,3,False
74,58,0,0,0,1,False
4,1,0,0,1,0,True
0,4,0,0,0,0,True
0,0,0,1,1,0,True
317,219,0,2,9,0,False
27,0,0,0,0,0,True
823,972,1,0,18,4,False
318,233,0,0,3,0,False
89,55,0,2,3,0,False
993,554,0,0,21,0,False
4,1,0,0,0,0,True
50,24,0,0,4,11,False
594,492,0,0,9,1,False
338,306,0,0,5,1,False
411,252,0,0,4,1,False
377,278,0,0,2,0,False
378,309,0,0,2,0,False
99,64,0,2,1,1,False
318,218,0,6,8,1,False
50,105,0,0,1,3,False
343,331,0,0,6,0,False
1110,1072,0,0,27,0,False
45,54,0,0,1,3,False
18,4,1,0,1,0,True
33,24,0,0,3,3,False
50,29,1,1,0,2,True
67,73,0,0,2,0,False
152,79,0,0,1,0,False
132,60,0,7,2,0,False
300,165,0,0,6,1,False
154,48,0,1,2,0,False
60,33,0,0,0,0,False
662,466,0,0,14,2,False
165,55,0,1,1,0,False
412,237,0,0,8,0,False
152,58,0,0,6,0,False
260,111,0,2,4,0,False
173,89,0,1,3,0,False
104,113,0,1,3,1,False
76,80,0,0,0,0,False
398,208,0,0,6,0,False
300,238,0,0,2,5,False
177,192,0,0,2,1,False
81,32,0,0,1,0,False
205,150,0,0,2,0,False
65,26,1,0,1,0,False
60,25,0,1,0,0,False
154,73,0,0,0,1,False
321,242,0,0,4,0,False
118,38,0,0,8,0,False
170,173,0,2,10,11,False
167,198,0,1,16,17,False
22,10,0,1,1,6,False
28,38,0,0,1,0,False
19,27,0,0,0,0,False
20,32,0,0,2,2,False
89,100,0,0,4,26,False
30,1,16,6,0,2,True
2,0,1,0,0,0,True
24,16,1,0,1,0,True
9,1,0,1,0,0,True
22,1,0,0,5,0,True
118,78,21,2,40,1,True
52,9,0,0,1,1,True
33,60,1,1,1,0,False
23,7,0,0,4,4,True
46,13,2,2,0,7,True
123,39,2,0,19,6,True
65,0,1,47,2,5,True
65,8,0,0,1,1,True
271,493,10,3,7,13,True
82,76,0,0,3,18,False
7,0,0,0,2,0,True
7,1,0,0,1,1,True
7,0,0,0,0,0,True
400,1,0,6,150,6,True
9,2,0,0,0,1,True
21,6,0,0,6,0,True
8,0,0,0,0,0,True
101,0,1,1,11,2,True
14,1,1,0,0,1,True
12,4,2,0,4,0,True
11,1,0,0,0,0,True
53,11,0,0,1,9,True
16,1,0,0,2,1,True
13,7,6,0,1,2,True
2,0,0,0,0,0,True
6,1,0,0,2,3,True
19,3,0,0,1,1,True
52,12,0,1,5,0,True
12,0,0,0,0,0,True
19,4,1,0,3,5,True
34,14,1,0,0,0,True
20,25,5,0,1,0,True
8,1,0,0,2,0,True
16,1,0,17,2,1,True
1131,600,62,67,90,388,True
34,13,15,3,5,2,True
17,1,0,0,3,2,True
34,32,14,5,2,6,True
9,1,1,0,1,1,True
0,0,0,0,0,1,True
3,1,0,0,0,0,True
23,0,0,0,0,0,True
8,0,0,0,0,2,True
12,5,0,0,0,1,True
52,96,1,12,1,16,True
135,119,1,1,8,40,True
7,0,0,0,0,1,True
6,0,0,0,1,3,True
1,0,0,0,0,0,True
158,92,8,5,14,37,True
6,1,0,0,0,0,True
347,467,0,1,10,25,False
76,93,0,1,0,0,False
511,875,0,0,33,38,False
5,0,0,2,1,2,True
40,59,0,0,10,3,False
57,40,0,0,0,0,False
78,64,1,0,3,1,False
232,282,0,1,6,30,False
60,76,0,0,0,0,False
89,92,2,3,0,7,False
48,67,0,1,0,2,False
34,43,0,0,2,3,False
19,2,1,2,0,0,True
150,146,0,0,2,1,False
72,43,0,0,3,0,False
26,41,0,0,1,2,False
23,36,0,0,0,0,False
33,28,0,0,0,1,False
29,15,0,0,0,0,False
220,144,2,4,6,36,False
27,1,0,0,2,1,False
56,33,0,1,0,0,False
789,556,1,0,27,3,False
103,65,0,2,2,2,False
480,384,0,0,4,2,False
30,23,0,0,0,0,False
134,62,0,0,1,0,False
68,35,0,3,1,0,False
655,548,0,0,6,1,False
87,34,0,1,0,1,False
2,0,0,0,0,0,True
30,29,0,0,2,1,False
110,324,0,0,1,2,False
24,3,0,0,0,2,True
189,142,1,6,2,2,False
23,0,17,3,0,1,True
4,0,0,0,0,0,True
6,0,0,0,0,0,True
2,0,0,0,0,0,True
23,19,1,1,0,13,True
2431,2247,1,5,32,13,False
233,208,0,0,7,0,False
483,222,0,0,11,0,False
42,47,0,0,1,0,False
164,75,0,1,2,0,False
272,38,0,6,2,1,False
204,129,0,0,1,0,False
286,331,0,1,8,0,False
426,208,0,0,8,0,False
755,518,0,0,128,3,False
1540,349,0,4,369,3,False
153,67,0,0,2,0,False
35,20,0,1,1,0,False
34,25,0,0,0,0,False
260,111,0,0,14,1,False
91,71,0,0,2,1,False
181,124,0,0,1,0,False
118,236,0,0,1,2,False
21,12,0,0,0,0,False
571,524,0,1,5,3,False
664,395,0,0,7,0,False
78,35,0,0,1,0,False
102,56,0,1,1,0,False
183,172,0,0,8,30,False
71,33,0,0,1,1,False
399,402,0,2,4,0,False
52,57,0,0,0,1,False
10,0,0,0,2,0,True
955,604,1,3,20,1,False
313,179,0,0,2,2,False
1,0,0,0,0,0,True
76,140,0,0,2,10,False
61,41,0,0,5,7,False
18,38,0,0,0,0,False
33,18,0,0,6,0,False
263,264,0,0,3,1,False
142,59,0,0,3,0,False
43,64,0,1,0,0,False
278,114,0,0,9,0,False
138,219,0,1,8,32,False
171,88,0,1,2,0,False
40,20,0,0,0,0,False
186,99,0,0,1,0,False
119,102,0,0,11,9,False
549,301,0,0,53,2,False
769,488,0,0,25,0,False
156,148,0,1,6,15,False
218,8,1,1,89,0,True
15,0,0,0,2,0,True
7,0,0,0,1,0,True
22,4,0,0,0,2,True
38,5,0,2,0,3,True
66,6,0,0,4,0,True
6,0,1,0,0,1,True
18,2,0,0,0,0,True
90,29,11,0,6,2,True
87,0,0,0,4,2,True
52,14,0,0,5,3,True
8,1,4,1,0,1,True
439,1,8,355,35,14,True
10,0,1,1,1,3,True
257,353,0,0,14,26,False
51,30,0,0,0,1,False
10,2,0,0,1,2,True
30,14,0,0,1,3,True
852,571,0,4,13,0,False
7,0,0,0,0,1,True
75,18,2,3,0,12,True
24,0,0,44,0,2,True
73,60,0,9,1,0,False
7,1,0,0,0,2,True
72,94,0,0,7,5,False
378,204,0,1,6,0,False
12,3,0,0,1,0,True
11,0,0,0,1,1,True
42,6,0,0,2,0,True
190,133,0,2,3,0,False
9,6,1,0,0,0,True
15,4,0,0,0,0,True
11,0,0,23,0,1,True
145,150,0,1,1,1,False
2,0,0,0,0,1,True
7,7,0,0,0,0,True
6,9,0,0,0,0,True
46,39,0,0,1,11,False
48,1,0,23,4,1,True
8,12,0,0,0,0,True
195,47,0,2,3,0,False
28,2,0,0,0,1,True
0,1,0,1,0,2,True
9,4,1,0,0,3,True
337,207,0,2,2,1,False
16,9,0,0,0,2,True
12,4,0,0,0,0,True
11,0,0,0,1,1,True
2,1,4,0,0,0,True
280,180,0,1,3,1,False
10,0,0,0,0,2,True
14,1,2,0,0,0,True
6,1,0,0,0,0,True
101,1,2,0,2,0,True
21,4,0,0,0,0,True
48,4,0,0,0,1,True
15,8,0,0,0,1,True
7,4,0,0,0,0,True
21,20,0,2,1,1,False
31,39,0,1,1,0,False
7,6,0,0,0,0,True
54,85,0,0,0,2,False
88,117,0,0,5,13,False
9,3,0,0,0,0,True
434,345,0,1,10,4,False
67,80,1,0,2,9,False
393,401,0,1,3,0,False
3,2,0,0,0,0,True
48,30,0,0,1,0,False
7,1,4,4,0,0,True
366,336,0,1,5,0,False
31,26,0,0,0,1,False
4,1,0,0,0,0,True
303,196,0,1,2,1,False
13,0,0,0,0,0,True
84,91,0,1,8,1,False
8,2,0,0,0,0,True
820,606,1,4,9,1,False
13,3,1,0,0,0,True
510,382,0,0,7,0,False
20,1,0,0,0,0,True
39,26,0,0,0,3,False
15,1,0,0,0,0,True
26,8,0,1,1,1,True
8,10,1,0,0,0,True
14,16,0,0,0,0,True
89,179,0,0,4,0,False
14,17,0,0,0,0,True
45,33,0,0,1,1,True
110,158,0,1,0,0,False
87,103,0,0,1,20,False
35,18,1,1,1,2,True
6,12,0,1,0,0,True
450,368,0,0,5,1,False
91,109,0,1,4,8,False
170,91,0,0,2,3,False
16,26,0,0,0,2,False
16,6,0,0,0,0,True
21,12,0,0,1,0,False
307,659,2,0,31,19,False
179,116,0,0,0,2,False
31,24,0,0,3,0,False
4,4,4,0,0,0,True
86,49,0,0,0,0,False
15,10,0,0,1,0,False
32,9,0,0,0,0,True
2,2,0,0,0,0,True
47,58,0,0,0,0,False
22,19,0,0,0,0,False
6,1,0,0,0,1,True
849,15,0,0,129,23,False
509,349,0,0,12,2,False
64,55,0,0,0,0,False
572,471,0,2,9,0,False
274,123,0,0,8,0,False
86,70,0,0,1,0,False
22,11,17,1,1,1,True
942,1293,0,0,147,5,False
4,1,1,0,0,1,True
1,0,0,0,0,0,True
9,20,0,0,0,0,False
177,282,0,0,5,5,False
255,216,0,0,2,1,False
124,44,0,1,1,0,False
2,0,0,0,0,0,True
38,14,0,3,0,0,False
234,175,0,0,6,2,False
205,82,0,1,3,1,False
