@relation basicinfo_vector

@attribute shares numeric
@attribute comments numeric
@attribute reactions numeric
@attribute images numeric
@attribute links numeric
@attribute class {True,False}

@data
1,35,48,0,2,True
36,628,1443,0,2,False
0,1,8,0,2,True
8,48,110,0,2,True
3,19,89,1,3,True
49,17,144,0,2,False
3,12,10,0,2,True
61,7,179,1,8,False
5,37,591,0,2,False
0,12,16,0,2,True
1,0,13,0,2,True
4,35,50,0,2,True
3,53,328,0,2,False
2,15,16,0,3,True
1,5,20,0,2,True
2,12,44,0,2,True
6,10,298,0,2,False
0,1,3,0,2,True
2,8,14,0,2,True
0,8,16,0,2,True
22,11,98,1,8,False
12,8,84,1,3,True
1,28,20,0,2,True
1,74,247,0,2,False
0,45,31,0,2,True
0,5,4,0,2,True
0,2,17,0,2,True
5,55,549,0,2,False
0,2,27,1,3,True
2,7,16,0,2,True
2,6,13,1,3,True
0,4,7,0,2,True
4,118,465,0,2,False
0,4,12,0,2,True
2,2,17,0,2,True
2,0,7,0,2,True
47,70,108,0,3,True
3,18,25,0,2,True
3,66,53,0,2,True
2,9,24,0,2,True
0,9,11,0,2,True
8,9,45,0,2,False
10,1,72,0,2,False
0,7,13,0,2,True
7,3,141,0,2,False
62,29,223,1,7,False
0,12,12,0,2,True
17,49,794,0,2,False
60,6,159,1,8,False
12,39,799,0,2,False
0,2,5,0,2,True
1,4,79,0,2,False
0,4,16,0,2,True
2,113,709,0,2,False
20,6,58,1,8,False
1,0,5,0,2,True
9,24,505,0,2,False
0,3,13,0,2,True
24,31,190,0,2,False
1,1,10,0,2,True
30,362,1446,0,2,False
1,57,18,0,2,True
11,106,902,0,2,False
4,7,21,0,2,True
29,6,69,1,13,False
1,3,16,0,2,True
6,17,37,0,2,True
0,30,19,0,2,True
2,193,30,0,2,True
35,17,273,0,2,False
2,20,31,0,2,True
9,71,80,0,2,True
35,22,271,0,2,False
53,17,211,1,7,False
12,18,58,0,2,True
0,26,19,0,2,True
21,85,825,0,2,False
64,12,213,1,10,False
1,23,266,0,2,False
2,2,44,0,2,False
1,8,22,0,2,True
0,11,34,0,2,False
636,142,1023,1,10,False
6,16,297,0,2,False
2,7,58,0,2,False
0,39,12,0,2,True
2,9,137,0,2,False
3,3,26,0,2,False
4,47,41,0,2,True
0,24,4,0,2,True
19,7,105,0,2,False
2,2,41,0,2,False
1,22,8,0,2,True
63,122,1018,0,1,False
22,149,877,0,2,False
0,18,120,0,2,False
9,127,1058,0,2,False
3,63,406,0,2,False
5,25,158,0,2,False
3,11,53,0,2,True
97,378,2401,0,2,False
2,15,7,0,2,True
1,0,1,0,2,True
0,0,29,0,2,False
70,15,469,0,2,False
7,73,478,0,2,False
0,9,170,0,2,False
0,0,2,0,2,True
1,1,55,0,2,False
4,90,422,0,2,False
4,43,292,0,2,False
3,10,96,0,2,False
0,12,152,0,2,False
20,21,56,0,2,True
1,16,222,0,2,False
19,8,235,0,2,False
15,2,59,0,2,False
4,3,40,0,2,False
23,204,651,0,2,False
2,10,323,0,2,False
4,157,541,0,2,False
4,49,823,0,2,False
1,6,225,0,2,False
8,185,576,0,2,False
8,36,429,0,2,False
4,54,601,0,2,False
8,54,758,0,2,False
4,33,442,0,2,False
7,10,301,0,2,False
4,15,129,0,2,False
85,41,340,1,7,False
0,10,51,0,2,False
9,57,503,0,2,False
2,25,287,0,2,False
3,14,61,0,2,False
3,29,397,0,2,False
0,3,97,0,2,False
40,7,114,1,7,False
0,7,131,0,2,False
12,236,928,0,2,False
5,56,457,0,2,False
3,40,207,0,2,False
2,59,519,0,2,False
0,3,54,0,2,False
7,56,48,0,2,True
225,37,394,1,6,False
14,6,91,0,2,False
1,1,15,0,2,False
10,3,62,0,2,False
196,33,407,1,8,False
49,20,140,1,8,False
1,10,177,0,2,False
111,18,300,1,6,False
7,4,29,0,2,False
10,4,37,0,2,False
38,19,208,0,2,False
14,7,199,0,2,False
48,27,267,1,7,False
51,10,145,1,7,False
164,25,372,1,8,False
14,8,53,0,2,False
23,12,239,0,2,False
5,3,43,0,2,False
9,36,463,0,2,False
2,252,505,0,2,False
3,13,79,0,2,False
183,30,398,1,6,False
4,7,55,0,2,False
19,180,861,0,2,False
1,5,125,0,2,False
6,70,643,0,2,False
27,4,80,1,8,False
36,169,1509,0,2,False
4,37,227,0,2,False
8800,379,9930,0,8,False
23,3,77,0,2,False
2,25,192,0,2,False
6,3,53,0,2,False
35,38,256,0,2,False
4,72,481,0,2,False
14,110,511,0,2,False
47,10,160,1,8,False
0,18,156,0,2,False
15,15,146,0,2,False
1,23,249,0,2,False
72,7,111,1,7,False
5,101,402,0,2,False
7,5,82,1,3,False
16,246,1277,0,3,False
11,299,402,0,2,False
81,12,320,1,2,False
48,51,211,1,8,False
10,166,1680,0,2,False
2,12,62,0,2,False
5,11,273,0,2,False
1,4,14,0,2,False
2,11,110,0,2,False
10,176,397,0,2,False
10,64,569,0,2,False
64,1500,2556,0,2,False
10,107,723,0,2,False
7,3,35,0,2,True
0,5,16,0,2,True
11,29,35,0,2,True
11,9,123,0,2,False
19,126,538,0,2,False
8,71,791,0,2,False
2,0,37,0,2,False
28,108,733,0,2,False
0,0,27,0,2,False
2,168,386,0,2,False
9,92,340,0,2,False
60,9,181,1,7,False
1600,136,2144,1,7,False
37,17,188,1,3,False
122,14,275,1,8,False
10,9,46,0,2,True
12,19,67,0,2,True
6,6,31,0,2,True
95,13,221,1,9,False
6,3,40,1,8,False
105,16,240,1,7,False
16,8,90,0,2,False
39,116,418,0,2,False
89,38,280,1,4,False
0,4,19,0,2,False
8,19,177,0,2,False
15,28,75,0,2,True
36,63,134,0,2,True
99,27,238,1,8,False
60,11,143,1,6,False
36,13,98,1,9,False
73,48,232,1,7,False
26,12,209,0,2,False
689,398,2938,1,4,False
16,12,78,0,2,False
33,20,286,0,2,False
24,12,294,0,2,False
27,36,139,0,2,False
134,60,550,0,2,False
12,11,130,0,2,False
14,4,48,1,8,False
343,42,618,0,8,False
412,143,1735,0,1,False
49,8,120,0,7,False
284,214,1595,0,4,False
82,66,413,0,2,False
11,2,47,1,8,False
92,46,413,0,2,False
92,21,264,1,7,False
69,13,164,0,8,False
0,0,27,0,3,False
5,25,49,0,2,True
22,64,71,0,2,True
3,1,31,0,2,False
0,0,9,0,2,False
0,2,13,0,2,False
0,0,5,0,2,False
18,39,110,1,3,False
5,1,37,1,3,False
4,9,63,1,5,False
0,0,3,1,3,False
1,3,21,1,3,False
6,7,17,1,3,False
3,4,29,0,2,False
0,2,22,0,2,False
2,20,57,0,2,False
0,1,29,1,3,False
0,0,10,0,2,False
0,1,10,0,2,False
19,9,52,0,2,True
2,2,17,1,3,False
